Step TotEng v_varAveEnergy v_energySTD Temp v_varAveTemp v_tempSTD Volume v_varAveVolume v_volumeSTD Press v_varAvePress v_pressSTD c_MSD[4] 
  655000   -7594.3173   -7595.3965    1.0959382    306.44774    300.11947    4.3390343    24197.353    24197.353 0.0016194457    3089.6785    3082.5814    168.32151  0.036477898 
  660000   -7599.7933   -7598.1102    1.8845407    295.47093    299.11971    5.8071793    24197.353    24197.353 0.0016194457    2216.3478    2475.3836    194.53138  0.034583739 
  665000    -7595.933   -7596.5929    1.1368355    302.61547    297.67618    4.1750729    24197.353    24197.353 0.0016194457    2791.1885     2857.573    189.52866  0.036404919 
  670000   -7592.6332   -7594.7476    1.3665826    307.03868    300.36287    4.8871242    24197.353    24197.353 0.0016194457    3364.0137    3218.5361    97.912241  0.037101325 
  675000   -7594.6678   -7595.2515    1.4681817    298.92127    299.72636    3.7031032    24197.353    24197.353 0.0016194457    3348.3496    3119.1835    236.62766   0.03737001 
  680000    -7600.003    -7596.866    1.5396662    290.09864    299.52964    5.7031585    24197.353    24197.353 0.0016194457    2498.1381    2758.1865    254.09299  0.035636108 
  685000   -7595.0396   -7595.3286    1.5184122    299.52823    300.87792    5.2539146    24197.353    24197.353 0.0016194457    3155.3474     3027.489    210.54296  0.034181875 
  690000   -7596.4884   -7596.5301    1.4072469    297.58539    299.45141    4.8563209    24197.353    24197.353 0.0016194457    2932.1347    2895.1098    193.81942  0.035002649 
  695000   -7594.8556   -7595.5157    1.2299294    297.86666    298.79686    5.4548403    24197.353    24197.353 0.0016194457    3202.1179    3100.0194    99.498807  0.034321716 
  700000   -7594.9729   -7596.7118   0.95496888    303.35145    298.68473    4.6770137    24197.353    24197.353 0.0016194457    2955.0754    2838.8072    109.67051  0.034497203 
  705000   -7598.5839   -7594.2482    1.7667062     294.2043     301.6423    5.1708152    24197.353    24197.353 0.0016194457    2727.0755    3278.4081     236.6863  0.035528746 
  710000   -7594.8621   -7594.2324     2.264229    302.72611    298.77362    4.8366962    24197.353    24197.353 0.0016194457    3077.3097    3356.9465    339.61259  0.036881225 
  715000   -7597.1621   -7596.5394    1.1628345    300.82516    299.06383    3.9540364    24197.353    24197.353 0.0016194457    2713.6831     2892.187    93.808971  0.037079242 
  720000   -7597.4081   -7596.2664    1.3769096    296.27222    297.86922    5.8044314    24197.353    24197.353 0.0016194457    2691.6923    2904.4432    150.22623  0.035185006 
  725000   -7597.3734   -7598.1263    1.2699371    298.22378     296.1875    4.6590213    24197.353    24197.353 0.0016194457     2727.141    2640.6803    192.10906  0.033865476 
  730000   -7594.8221   -7595.7153    1.3613432    293.91112    299.78354    4.3367644    24197.353    24197.353 0.0016194457    3536.9232    2974.8508    328.91079  0.035693324 
  735000    -7594.549   -7596.2091    1.9984351    299.72691    297.66095    5.7889151    24197.353    24197.353 0.0016194457    3227.0677    2928.3316    317.66959  0.035693547 
